"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,98509634,9,
2017,99366874,10,
2017,99367836,10,
2017,99370780,1,
2017,99376855,9,
2017,98518262,10,
2017,99372816,1,
2017,98836215,1,
2017,98822431,9,
2017,98509502,1,
2017,98825672,10,
2017,98512290,1,
2017,99855646,1,
2017,99383165,10,
2017,99388242,1,
2017,103711737,6,
2017,103711074,1,
2017,103711243,1,
2017,104549802,6,
2017,104548546,1,
2017,103711285,1,
2017,103708029,10,
2017,103713236,1,
2017,103712217,1,
2017,106204106,2,
2017,98240003,9,
2017,98244356,10,
2017,98836272,9,
2017,98836986,1,
2017,98530157,1,
2017,98518639,10,
2017,98506922,10,
2017,98837054,9,
2017,98832479,1,
2017,107065156,1,
2017,96330887,10,
2017,97072742,1,
2017,99365972,1,
2017,108173757,1,
2017,107468081,1,
2017,107062778,9,
2017,99368571,1,
2017,99371787,10,
2017,98506697,1,
2017,99364984,1,
2017,99369448,1,
2017,99371605,1,
2017,99374250,9,
2017,99374253,1,
2017,99375216,1,
2017,99376250,10,
2017,99377150,9,
2017,98836293,1,
2017,108044421,1,
2017,108127185,9,
2017,99378598,1,
2017,99379892,1,
2017,98245445,1,
2017,98245846,6,
2017,98245846,1,
2017,98236548,1,
2017,99856051,1,
2017,96551383,1,
2017,96552740,1,
2017,105259537,1,
2017,99386206,1,
2017,108176596,9,
2017,107068550,1,
2017,103712131,10,
2017,106204455,1,
2017,106206072,1,
2017,103712592,9,
2017,108040577,1,
2017,98245924,9,
2017,98513438,1,
2017,98820806,1,
2017,98520228,1,
2017,98830511,1,
2017,98516914,1,
2017,98246038,1,
2017,99856581,9,
2017,98521577,1,
2017,98512013,1,
2017,108098835,10,
2017,107067374,1,
2017,99855816,1,
2017,96545850,1,
2017,98522076,1,
2017,98241073,1,
2017,106207083,1,
2017,106674154,1,
2017,107066498,1,
2017,107066107,1,
2017,99367991,1,
2017,99368442,1,
2017,99369412,1,
2017,99372651,1,
2017,99364648,9,
2017,99366922,1,
2017,99370121,1,
2017,99371866,1,
2017,99372795,1,
2017,99375043,1,
2017,99377292,1,
2017,99371906,9,
2017,108083769,1,
2017,106656048,10,
2017,108094324,6,
2017,99855117,10,
2017,98238787,9,
2017,98238787,1,
2017,98522465,10,
2017,98248754,1,
2017,99855653,9,
2017,96545463,1,
2017,99855227,1,
2017,99385815,1,
2017,96551485,10,
2017,104548408,1,
2017,107065197,1,
2017,104549058,1,
2017,103714277,1,
2017,104551303,1,
2017,103711911,1,
2017,104547772,9,
2017,105837754,1,
2017,103710187,9,
2017,103712724,1,
2017,107071195,1,
2017,107067351,9,
2017,107064875,10,
2017,106205025,1,
2017,106204940,1,
2017,98836142,3,
2017,98509904,9,
2017,98521151,1,
2017,98243923,1,
2017,98512445,10,
2017,98821077,9,
2017,106674339,1,
2017,108038102,6,
2017,108126908,6,
2017,96548302,1,
2017,96548797,9,
2017,107467960,9,
2017,106204587,9,
2017,105840642,10,
2017,107068383,1,
2017,99367506,10,
2017,99371054,1,
2017,99371243,1,
2017,99372234,1,
2017,99364881,1,
2017,99361017,9,
2017,99363689,10,
2017,99373055,1,
2017,99375540,1,
2017,99376027,1,
2017,99377501,10,
2017,103715483,1,
2017,98509407,1,
2017,107070907,1,
2017,99378577,1,
2017,99382787,9,
2017,99379850,10,
2017,99385708,9,
2017,99378757,1,
2017,99378045,1,
2017,98245674,1,
2017,99855677,1,
2017,96546178,10,
2017,99381679,1,
2017,103710454,1,
2017,103712438,6,
2017,106205931,1,
2017,103713117,1,
2017,103715605,10,
2017,104549084,9,
2017,103707807,10,
2017,103708126,1,
2017,103711695,9,
2017,98820645,1,
2017,98821352,6,
2017,98835497,9,
2017,98532527,9,
2017,98508514,1,
2017,107070504,1,
2017,98836499,9,
2017,98828707,8,
2017,107068818,10,
2017,105837705,1,
2017,99856278,1,
2017,99363500,1,
2017,99367599,9,
2017,99371220,10,
2017,99372508,1,
2017,99368499,1,
2017,98509438,1,
2017,99366763,1,
