"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2016,90032051,84550454,7,,
2016,90032500,84930388,7,,
2016,90032667,85273236,6,,
2016,90032693,84932233,7,,
2016,90032775,84935305,7,,
2016,90032893,87310850,4,,
2016,90643639,82889493,5,,
2016,90644482,84039884,6,,
2016,90644486,84040810,6,,
2016,90643774,85263536,7,,
2016,90643788,85264630,1,,
2016,90643792,85265631,1,,
2016,90643100,85994414,7,,
2016,90643942,84932338,6,,
2016,90643216,84546677,7,,
2016,90644713,82922990,7,,
2016,90644019,84936257,7,,
2016,90644129,87309869,7,0,
2016,90644249,83941852,4,,
2016,90643326,84553370,7,,
2016,90643335,84553450,7,,
2016,90643488,87074881,1,,
2016,90643577,82886132,5,,
2016,92474482,87072558,1,,
2016,92935055,85996388,7,,
2016,93087566,84041814,4,,
2016,93086429,84408775,7,,
2016,93086799,85263520,1,,
2016,93698023,84548657,4,,
2016,93697978,84546599,3,,
2016,91864518,85273312,5,,
2016,93698702,84931341,7,,
2016,91255083,87308802,7,,
2016,93697831,85992313,7,,
2016,91864736,87310870,4,,
2016,90644197,82919094,7,,
2016,89422256,85997326,7,,
2016,93086236,85998394,7,,
2016,91254229,84546615,7,,
2016,89422527,87070476,4,,
2016,91254433,87071516,7,,
2016,93699235,84039942,7,,
2016,93086611,82886024,3,,
2016,90644749,87476077,5,,
2016,89422764,83939743,4,,
2016,90643660,83940753,4,,
2016,93699510,86470282,7,,
2016,89423846,86472331,7,,
2016,93699544,86472388,4,,
2016,91864385,85265600,1,,
2016,93698544,85265626,4,,
2016,94137262,85992224,5,,
2016,91102241,82919015,7,,
2016,90032291,82884994,4,,
2016,94821398,88887363,6,,
2016,94821430,88887392,7,,
2016,91092560,84938412,7,,
2016,92475343,84031650,7,,
2016,92474837,85266676,5,,
2016,92474876,85267905,6,,
2016,92474963,85273322,7,,
2016,92475014,84933381,7,,
2016,92475280,83943862,7,,
2016,93086852,85266820,4,,
2016,93087046,84934328,6,,
2016,93087142,87308763,6,,
2016,93087146,87308773,5,,
2016,93087232,82917954,6,,
2016,93087236,82918002,7,,
2016,93698170,87070590,7,,
2016,93698219,87072707,7,,
2016,93699526,86471352,7,,
2016,93698314,82884912,5,,
2016,93698388,82888422,7,,
2016,93698491,84930372,4,,
2016,93698803,84937343,5,,
2016,93698862,87309830,6,,
2016,93699019,83945056,7,,
2016,93699119,84033772,7,,
2016,93699164,84036768,7,,
2016,93699221,84039781,3,,
2016,93699266,84041823,5,,
2016,93697821,85992265,4,,
2016,92474287,84547567,7,,
2016,93698034,84549590,7,,
2016,91255291,82919666,4,,
2016,93699047,84030547,7,,
2016,93698087,84552462,4,,
2016,91863980,84408867,4,,
2016,91864999,84035774,7,,
2016,93698205,87072594,7,,
2016,93698371,82888298,7,,
2016,90644598,85022614,7,,
2016,91865283,82922989,7,,
2016,92474780,84931262,7,1,
2016,93086793,84931298,6,,
2016,90643780,85264537,1,,
2016,91864451,85269983,6,,
2016,91254841,85270071,7,,
2016,93698310,82884887,6,,
2016,93698492,84930375,6,,
2016,93698514,85263533,7,,
2016,93698642,85271148,7,,
2016,93698686,85273358,5,,
2016,93699257,84040917,4,,
2016,91073521,84031576,7,,
2016,91092567,84036871,4,,
2016,92475523,85841086,7,,
2016,93698900,82916827,4,,
2016,93087265,82920179,4,,
2016,89422182,85993388,4,,
2016,93087293,83942832,6,,
2016,93086279,84547576,4,,
2016,90032030,84548614,4,,
2016,93086403,84554291,4,,
2016,92474553,87075883,5,,
2016,92475584,85023654,7,,
2016,91864116,87076860,7,,
2016,90643541,82884937,7,,
2016,90032356,82887267,7,,
2016,92474695,83939754,7,,
2016,90032413,85414625,4,,
2016,89422915,85265700,7,,
2016,93698557,85266678,6,,
2016,92474930,85271191,6,,
2016,91864501,85273249,7,,
2016,92475024,84934287,5,,
2016,89423113,84934287,7,,
2016,91254454,87072628,6,,
2016,92303385,85273378,7,,
2016,91255017,84936335,4,,
2016,91254140,85995284,7,,
2016,93697914,85996446,5,,
2016,90643194,84545652,7,,
