"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,12,129084377,23537525
2018,10,129084394,23537533
2018,18,129091246,23537542
2018,12,129084420,23532789
2018,12,129084440,23537546
2018,20,129091283,23532799
2018,12,129091307,23537554
2018,12,129089218,23537557
2018,12,129084508,23532805
2018,12,129089226,23532806
2018,12,129089298,23537570
2018,12,129091409,23532827
2018,12,129089324,23537576
2018,12,129089358,23525792
2018,12,129091460,23525794
2018,3,129091485,23525802
2018,9,129089404,23532849
2018,12,129089423,23537597
2018,12,129084752,23532862
2018,10,129084764,23532866
2018,12,129089451,23537604
2018,22,129091551,23525823
2018,19,129084870,23532881
2018,9,129084871,23525828
2018,12,129091602,23537619
2018,12,129084881,23532882
2018,2,129084912,23532889
2018,18,129091623,23525831
2018,9,129091618,23532888
2018,2,129091618,23525830
2018,12,129084996,23525846
2018,9,129089604,23532911
2018,12,129091692,23537643
2018,12,129085065,23537651
2018,12,129085105,23532931
2018,18,129085116,23532935
2018,10,129085181,23532958
2018,5,129091802,23532962
2018,20,129089742,23525873
2018,20,129092001,23537700
2018,20,129085444,23537702
2018,20,129085458,23537705
2018,12,129092044,23537709
2018,12,129089962,23525909
2018,12,129089983,23537715
2018,12,129092088,23525913
2018,12,129090008,23533028
2018,18,129090054,23525925
2018,12,119944645,21431541
2018,20,119165150,21266517
2018,10,119166926,21266900
2018,18,119167847,21267156
2018,10,119169088,21267368
2018,11,119169117,21267377
2018,12,119169518,21267493
2018,12,119178229,21269499
2018,18,119181068,21270216
2018,12,119183934,21271067
2018,12,119184248,21271150
2018,12,119590466,21357595
2018,12,119590656,21357642
2018,12,119591481,21357816
2018,10,119591500,21357822
2018,20,123868540,22312789
2018,9,123868550,22312792
2018,10,123873036,22308543
2018,12,123873043,22308546
2018,2,123868631,22318617
2018,12,123868687,22308575
2018,12,123873179,22308582
2018,20,123868742,22312836
2018,20,123878475,22318657
2018,20,123873602,22308679
2018,20,119601342,21360013
2018,20,123878557,22318668
2018,20,119601691,21360100
2018,18,123873728,22308711
2018,12,123878767,22312941
2018,12,123873923,22308748
2018,2,129079687,23531410
2018,12,129070706,23531773
2018,12,129073553,23531425
2018,12,129079847,23531801
2018,12,129074108,23531918
2018,9,129074114,23525141
2018,12,129074120,23531599
