agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
2086,CO0600300,CO0600300,Victor Police Department,Victor,1,City,,,1201,Victor,7,CO,315,Teller,08119,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1984,,2016,2013,2012,400,7,"Cities under 2,500",L,Y,N,0,0,3,2083,CO0600000,Teller,2011,3,0,80860,38.871994,-105.182552
1929,CO0220000,CO0220000,Fremont County Sheriff's Office,Fremont,2,County,,,,,7,CO,277,Fremont,08043,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,26423,8B,"Non-MSA counties from 25,000 thru 99,999",L,N,N,12,12,10,,,,2016,52,63,81212,38.455658,-105.421438
2105,CO0621500,CO0621500,Gilcrest Police Department,Gilcrest,1,City,,,1099,Gilcrest,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2014,2015,1091,7,"Cities under 2,500",L,Y,N,0,0,0,2103,CO0621300,Platteville,2013,2,0,80623,40.555794,-104.383649
1981,CO0340400,CO0340400,Bayfield Police Department,Bayfield,1,City,,,1037,Bayfield,7,CO,288,La Plata,08067,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1978,,2016,,2016,2580,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,7,,,,2016,8,0,81122,37.287367,-107.839718
1902,CO0170000,CO0170000,Dolores County Sheriff's Office,Dolores,2,County,,,,,7,CO,272,Dolores,08033,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,1965,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,5,3,81324,37.747602,-108.530383
1891,CO0140100,CO0140100,Westcliffe Police Department,Westcliffe,1,City,,,1205,Westcliffe,7,CO,269,Custer,08027,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1983,,2016,2014,2011,573,7,"Cities under 2,500",L,N,N,0,0,0,1890,CO0140000,Custer,1986,2,0,81252,38.101994,-105.373515
2056,CO0520200,CO0520200,Rangely Police Department,Rangely,1,City,,,1176,Rangely,7,CO,307,Rio Blanco,08103,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1981,,2016,2013,2016,2439,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,5,5,81648,39.972606,-108.200685
2096,CO0620600,CO0620600,Windsor Police Department,Windsor,1,City,,,1209,Windsor,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2013,2016,21736,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,23,4,80550,40.555794,-104.383649
2069,CO0550200,CO0550200,Saguache Police Department,Saguache,1,City,,,1181,Saguache,7,CO,310,Saguache,08109,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1977,,2016,2014,2012,479,7,"Cities under 2,500",L,N,N,0,0,0,2067,CO0550000,Saguache,1982,2,0,81149,38.031651,-106.234666
1990,CO0350600,CO0350600,Wellington Police Department,Wellington,1,City,,,1204,Wellington,7,CO,290,Larimer,08069,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2014,1980,7424,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,0,1984,CO0350000,Larimer,1979,2,0,80549,40.663091,-105.482131
